nctId,conditions,classification
NCT01864889,"Hematopoietic/Lymphoid Cancer, Adult Acute Lymphoblastic Leukemia in Remission, B-cell Adult Acute Lymphoblastic Leukemia, B-cell Chronic Lymphocytic Leukemia, Prolymphocytic Leukemia, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Refractory Chronic Lymphocytic Leukemia, Stage III Adult Diffuse Large Cell Lymphoma, Stage III Chronic Lymphocytic Leukemia, Stage III Grade 1 Follicular Lymphoma, Stage III Grade 2 Follicular Lymphoma, Stage III Grade 3 Follicular Lymphoma, Stage III Mantle Cell Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Chronic Lymphocytic Leukemia, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma",blood cancer
NCT01318317,"Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Non-Hodgkin Lymphoma",blood cancer
NCT06353152,"Gastric Adenocarcinoma, Gastroesophageal Junction Adenocarcinoma",solid tumor
NCT06590246,Hepatocellular Carcinoma,solid tumor
NCT04156269,Multiple Myeloma,blood cancer
NCT04780529,Malignant Neoplasms of Digestive Organs,others
NCT04146051,"Myasthenia Gravis, Generalized",others
NCT05164666,Solid Tumors,solid tumor
NCT03666000,"Non-Hodgkin Lymphoma, B-cell Acute Lymphoblastic Leukemia",blood cancer
NCT06116110,Non Hodgkin Lymphoma,blood cancer
NCT04660929,"HER2-positive, Adenocarcinoma, Bile Duct Cancer, Biliary Tract Cancer, Bladder Cancer, Breast Cancer, Breast Neoplasm, Carcinoma, Ductal, Carcinoma, Hepatocellular, Cancer, Lung Cancer, Non-Small-Cell, Carcinoma, Ovarian Epithelial, Carcinoma, Small Cell, Carcinoma, Squamous, Carcinoma, Transitional Cell, Colorectal Cancer, Esophagogastric Junction Neoplasms, Inflammatory Breast Cancer, Stomach Neoplasms, Malignant Neoplasms, Ovarian Neoplasms, Pancreatic Cancer, HER2-positive Solid Tumors, HER2-positive Breast Cancer, HER2-positive Gastric Cancer, HER-2 Protein Overexpression, HER-2 Gene Amplification, Prostate Cancer, Head and Neck Cancer, Endometrial Cancer, Lung Cancer, Small Cell",solid tumor
NCT04792489,"Refractory Diffuse Large B Cell Lymphoma (DLBCL), Relapsed Diffuse Large B Cell Lymphoma, High Grade B-cell Lymphoma (HGBCL), Primary Mediastinal B-cell Lymphoma (PMBCL), Transformed Lymphoma, Central Nervous System Lymphoma",blood cancer
NCT06038474,Systemic Lupus Erythematosus (SLE),others
NCT05784441,Relapsed or Refractory B Cell Non-Hodgkin Lymphoma,blood cancer
NCT03664635,"Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma, Non-Hodgkin's Lymphoma, B-cell Lymphoma Refractory, B-cell Lymphoma Recurrent",blood cancer
NCT04652219,Malignant Neoplasms of Digestive Organs,others
NCT03638193,Pancreatic Cancer,solid tumor
NCT01583686,"Cervical Cancer, Pancreatic Cancer, Ovarian Cancer, Mesothelioma, Lung Cancer",solid tumor
NCT04703686,"Diffuse Large B-Cell Lymphoma Refractory, Refractory Indolent Adult Non-Hodgkin Lymphoma, Refractory Transformed B-cell Non-Hodgkin Lymphoma, Refractory Primary Mediastinal Large B-Cell Cell Lymphoma, Refractory Mantle Cell Lymphoma",blood cancer
NCT06345027,"Leukemia, Myeloid, Acute, Leukemia, B-cell, Leukemia, T-Cell, Lymphoma",blood cancer
NCT04735471,"Lymphoma, Follicular, Lymphoma, Mantle-Cell, Marginal Zone Lymphoma, Primary Mediastinal B-cell Lymphoma, Diffuse Large B Cell Lymphoma, Lymphoma, Non-Hodgkin",blood cancer
NCT06208735,"B-Cell Leukemia, Non-Hodgkin's Lymphoma, B-cell Acute Lymphoblastic Leukemia, Diffuse Large B Cell Lymphoma, High-grade B-cell Lymphoma, Primary Mediastinal Large B-cell Lymphoma (PMBCL), Mantle Cell Lymphoma, B-cell Lymphoma",blood cancer
NCT01430390,"Acute Lymphocytic Leukemia, Lymphoma",blood cancer
NCT05099237,"Colorectal Cancer, Lung Cancer, Hematological Cancer, CAR T-Cell Therapy",blood cancer
NCT05058898,Monkeypox Virus Infection,others
NCT06626919,"Muscular Diseases, Neuromuscular Manifestations, Autoimmune, Autoimmune Diseases, Autoimmune Diseases of the Nervous System, Myasthenia Gravis, Muscle Weakness",others
NCT04923893,Multiple Myeloma,blood cancer
NCT06414135,Systemic Sclerosis,others
NCT04156178,"B Cell Lymphoma, B Cell Leukemia",blood cancer
NCT06708845,"Lupus Nephritis, Systemic Lupus Erythematosus, Systemic Sclerosis (SSc), Diffuse Cutaneous Systemic Sclerosis",others
NCT06253663,"Relapsed/Refractory Mantle Cell Lymphoma, Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia",blood cancer
NCT06680752,"Acute Myeloid Leukemia, in Relapse, Acute Myeloid Leukemia Refractory, MDS (Myelodysplastic Syndrome)",blood cancer
NCT06182696,Relapsed and/or Refractory Multiple Myeloma,blood cancer
NCT06375993,"Lupus Nephritis, Autoimmune Diseases, Systemic Sclerosis (SSc), Systemic Lupus Erythematosus (SLE), ANCA-Associated Vasculitis (AAV), Idiopathic Inflammatory Myopathies, Stiff Person Syndrome",others
NCT02195583,Oral Hygiene,others
NCT03081910,"T-cell Acute Lymphoblastic Lymphoma, T-non-Hodgkin Lymphoma, T-cell Acute Lymphoblastic Leukemia",blood cancer
NCT06378190,"Refractory B-Cell Lymphoma, B-cell Lymphoma Recurrent",blood cancer
NCT05350852,B-ALL,others
NCT04296461,B-cell Non-Hodgkin Lymphoma,blood cancer
NCT06206902,Non-Hodgkin's Lymphoma,blood cancer
NCT02881775,"Osteoarthritis, Knee",others
NCT05987527,"Kidney Transplant Rejection, End Stage Renal Disease",others
NCT04021290,HIV Infections,others
NCT02765243,"Neuroblastoma, Effects of Immunotherapy",others
NCT05120271,"Hepatocellular Carcinoma, Squamous Cell Carcinoma of the Lung, Merkel Cell Carcinoma, Myxoid/Round Cell Liposarcoma",solid tumor
NCT06056752,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT06528301,"Lymphoma, B-Cell, Lymphoma, Non-Hodgkin (NHL), Lymphoma, Large B-Cell, Diffuse (DLBCL), Chronic Lymphocytic Leukemia (CLL)",blood cancer
NCT05457010,"Acute Myeloid Leukemia, Myelodysplastic Syndromes",blood cancer
NCT05626764,"Solid Tumor, Hematologic Cancer",blood cancer
NCT01886976,Multiple Myeloma,blood cancer
NCT04109482,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN),others
NCT06316791,"Lupus Erythematosus, Systemic",others
NCT05201781,Multiple Myeloma,blood cancer
NCT04888442,"Acute Lymphoblastic Leukemia, in Relapse, Refractory Acute Lymphoblastic Leukemia",blood cancer
NCT05950113,"Recurrent Multiple Myeloma, Refractory Multiple Myeloma",blood cancer
NCT05888493,Follicular Lymphoma (FL),blood cancer
NCT06738082,"Influenza Vaccine, Immunocompromised Patients",others
NCT01475058,"Philadelphia Chromosome Negative Adult Precursor Acute Lymphoblastic Leukemia, Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia, Recurrent Adult Acute Lymphoblastic Leukemia, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Mantle Cell Lymphoma, Refractory Chronic Lymphocytic Leukemia",blood cancer
NCT02215967,"Myeloma, Plasma-Cell, Myeloma-Multiple",blood cancer
NCT00924326,"Primary Mediastinal B-cell Lymphoma, Diffuse, Large B-cell Lymphoma, Diffuse Large B-Cell Lymphoma Transformed From Follicular Lymphoma, Mantle Cell",blood cancer
NCT06913608,"Systemic Lupus Erythematosus (SLE), Systemic Sclerosis (SSc), Idiopathic Inflammatory Myopathy (IIM)",others
NCT05461378,"Immuno-Deficiency, COVID-19",others
NCT03554694,"Prebiotics, Anxiety, Humans, Magnetic Resonance Imaging, Decision Making, Emotion, Cortisol",others
NCT06787989,Refractory Immune Cytopenia,others
NCT05350787,B-ALL,others
NCT06504199,Mantle Cell Lymphoma,blood cancer
NCT01271595,Seasonal Allergic Rhinitis,others
NCT02761915,Relapsed or Refractory Neuroblastoma,others
NCT03392545,"High Grade Glioma, Glioblastoma, Glioma of Brainstem, Glioma, Malignant",solid tumor
NCT05893940,Hematopoietic and Lymphoid System Neoplasm,blood cancer
NCT06785818,"B-Cell Acute Lymphoblastic Leukemia, Diffuse Large B-Cell Lymphoma, Follicular Lymphoma",blood cancer
NCT06150885,Solid Tumor,solid tumor
NCT01822652,Neuroblastoma,others
NCT06561425,"Relapsed/Refractory B-cell Non-Hodgkin Lymphoma, Lymphomas Non-Hodgkin's B-cell",blood cancer
NCT05044039,"Non-hodgkin Lymphoma, Acute Lymphocytic Leukemia",blood cancer
NCT06267729,Metastatic Prostate Cancer,solid tumor
NCT05182073,"Multiple Myeloma, Myeloma",blood cancer
NCT01218867,"Metastatic Cancer, Metastatic Melanoma, Renal Cancer",solid tumor
NCT05191472,"Multiple Myeloma, Multiple Myeloma in Relapse, Multiple Myeloma, Refractory, Recurrent Plasma Cell Myeloma, Refractory Plasma Cell Myeloma",blood cancer
NCT06735274,Cerebral Vascular Accident (CVA)/Stroke,others
NCT05993949,Lymphoblastic Leukemia,blood cancer
NCT03829540,"T-cell Lymphoma, T-cell Leukemia",blood cancer
NCT06197178,Advanced Gastrointestinal Tumors,solid tumor
NCT04064632,HIV Infection,others
NCT06238648,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified, Primary Mediastinal Large B-Cell Lymphoma, Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma",blood cancer
NCT06279936,Long COVID,others
NCT06574958,"ORR,OS,PFS",others
NCT01192464,"Hodgkin's Lymphoma, Non-Hodgkin's Lymphoma",blood cancer
NCT02614066,Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia,blood cancer
NCT02395250,Hepatocellular Carcinoma,solid tumor
NCT03448978,Multiple Myeloma,blood cancer
NCT02331693,Advanced Glioma,solid tumor
NCT06090864,"Hodgkin Lymphoma, Relapse, Refractory",blood cancer
NCT04844866,Diffuse Large B-cell Lymphoma,blood cancer
NCT04156243,"B Cell Lymphoma, B Cell Leukemia",blood cancer
NCT04690192,Large B-cell Lymphoma,blood cancer
NCT04648046,HIV Infections,others
NCT02953756,Neoplasm Metastases,others
NCT03902197,Acute Lymphoblastic Leukemia,blood cancer
NCT04880434,Relapsed/Refractory Mantle Cell Lymphoma,blood cancer
NCT06079164,Relapsed/Refractory Large B-cell Lymphoma,blood cancer
NCT06274840,"COVID-19, Cystic Fibrosis",others
NCT05521802,Multiple Myeloma,blood cancer
NCT06347068,"Breast Cancer, Relapse, Resistant Cancer, Triple Negative Breast Cancer",solid tumor
NCT04637763,"Lymphoma, Non-Hodgkin, Relapsed Non Hodgkin Lymphoma, Refractory B-Cell Non-Hodgkin Lymphoma, Non Hodgkin Lymphoma, Lymphoma, B Cell Lymphoma, B Cell Non-Hodgkin's Lymphoma",blood cancer
NCT05923541,Hematologic Malignancies,blood cancer
NCT06001684,Solid Tumors,solid tumor
NCT03721068,"Neuroblastoma, Osteosarcoma",solid tumor
NCT01860937,Relapsed B-Cell Acute Lymphoblastic Leukemia,blood cancer
NCT05667506,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT04169022,Acute Myeloid Leukemia,blood cancer
NCT02587689,"Hepatocellular Carcinoma, Non-small Cell Lung Cancer, Pancreatic Carcinoma, Triple-Negative Invasive Breast Carcinoma",solid tumor
NCT03318861,Relapsed/Refractory Multiple Myeloma,blood cancer
NCT03602157,"Lymphoma, Immune System Diseases, Immunoproliferative Disorders, Lymphatic Diseases, Lymphoproliferative Disorders, Neoplasms, Cutaneous Lymphoma, Cutaneous Anaplastic Large Cell Lymphoma, Mycosis Fungoides, Sezary Syndrome, Lymphomatoid Papulosis, Cutaneous T Cell Lymphoma, Gray Zone Lymphoma",blood cancer
NCT03003234,Functional Dyspepsia,others
NCT05268172,"Pleural Effusion, Malignant",others
NCT04696731,Advanced/Metastatic Clear Cell Renal Cell Carcinoma,solid tumor
NCT06879262,R/R NHL,others
NCT05745948,"COVID-19, Cystic Fibrosis",others
NCT03389230,"Glioblastoma, Malignant Glioma, Recurrent Glioma, Refractory Glioma, WHO Grade III Glioma",solid tumor
NCT06704269,Generalized Myasthenia Gravis,others
NCT04205838,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified, High Grade B-Cell Lymphoma, Progressive Disease, Recurrent Diffuse Large B-Cell Lymphoma, Recurrent High Grade B-Cell Lymphoma, Recurrent Primary Mediastinal (Thymic) Large B-Cell Cell Lymphoma, Recurrent Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma, Refractory Diffuse Large B-Cell Lymphoma, Refractory High Grade B-Cell Lymphoma, Refractory Primary Mediastinal (Thymic) Large B-Cell Cell Lymphoma, Refractory Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma",blood cancer
NCT01460901,Neuroblastoma,others
NCT04227275,Metastatic Castration-resistant Prostate Cancer,solid tumor
NCT04855136,Multiple Myeloma,blood cancer
NCT02129543,Cancer,solid tumor
NCT05632380,Multiple Myeloma,blood cancer
NCT06688435,Myasthenia Gravis,others
NCT04133636,Multiple Myeloma,blood cancer
NCT05895994,"Neoplasms, Hematologic Neoplasms, Neoplasms by Site, Hematologic Diseases",blood cancer
NCT06402994,"Hearing Disorders in Children, Hearing Loss",others
NCT04608487,"Lymphoma, Lymphoma Cns",blood cancer
NCT05054582,"Cystic Fibrosis, Covid19",others
NCT05472857,"Gastric Cancer, Pancreatic Cancer, Advanced Ovarian Carcinoma, Gastroesophageal Junction Adenocarcinoma",solid tumor
NCT06045910,"Lymphoma, Non-Hodgkin, Lymphoma, Large B-Cell, Diffuse, Lymphoma, Mantle-Cell, Lymphoma, Follicular, Lymphoma, B-Cell",blood cancer
NCT06279026,Relapsed/Refractory Multiple Myeloma,blood cancer
NCT06002659,B-cell Lymphoma,blood cancer
NCT03761056,B-cell Lymphoma,blood cancer
NCT05388695,"19 and 22+ B Cell Hematologic Tumors, 19 and 20+ B Cell Hematologic Tumors",blood cancer
NCT01815749,"Adult Grade III Lymphomatoid Granulomatosis, Cutaneous B-cell Non-Hodgkin Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue, Intraocular Lymphoma, Nodal Marginal Zone B-cell Lymphoma, Post-transplant Lymphoproliferative Disorder, Recurrent Adult Burkitt Lymphoma, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Diffuse Mixed Cell Lymphoma, Recurrent Adult Diffuse Small Cleaved Cell Lymphoma, Recurrent Adult Grade III Lymphomatoid Granulomatosis, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Adult Lymphoblastic Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Marginal Zone Lymphoma, Recurrent Small Lymphocytic Lymphoma, Refractory Hairy Cell Leukemia, Small Intestine Lymphoma, Splenic Marginal Zone Lymphoma, Testicular Lymphoma, Waldenström Macroglobulinemia",blood cancer
NCT03170141,"Glioblastoma Multiforme of Brain, Brain Cancer",solid tumor
NCT06271369,Diffuse Large B-cell Lymphoma,blood cancer
NCT04025216,"Non-Small Cell Lung Cancer, Ovarian Cancer, Fallopian Tube Cancer, Triple Negative Breast Cancer, Multiple Myeloma, Pancreatic Ductal Adenocarcinoma",blood cancer
NCT05142124,Out-of-hospital Cardiac Arrest,others
NCT02873390,"PD-1 Antibody, CAR-T Cells, Advanced Malignancies",others
NCT06742593,"Brain (Nervous System) Cancers, Brain and Central Nervous System Tumors, Brain Tumors",solid tumor
NCT05237440,Obesity,others
NCT03114670,Adult Acute Myeloid Leukemia,blood cancer
NCT04181827,Multiple Myeloma,blood cancer
NCT06897930,"Lupus Erythematosus, Systemic",others
NCT06816823,Pancreatic Cancer,solid tumor
NCT05217784,"Cystic Fibrosis, Covid19",others
NCT02953717,Neoplasm Metastasis,others
NCT05052294,Cystic Fibrosis,others
NCT05123001,"Hodgkin Lymphoma, Non Hodgkin Lymphoma, Leukemia, Multiple Myeloma",blood cancer
NCT02663297,"Hodgkin Disease, Lymphoma, Lymphoma, Non-Hodgkin, Immune System Diseases, Immunoproliferative Disorders, Lymphatic Diseases, Lymphoproliferative Disorders, Neoplasms, Neoplasms by Histologic Type",blood cancer
NCT06215105,Aneurysm Cerebral,others
NCT01333202,Tobacco Use Disorder,others
NCT03617198,Hiv,others
NCT02862028,"PD-1 Antibody, CAR-T Cells, Advanced Solid Tumor",solid tumor
NCT04314843,Relapsed/Refractory Large B-cell Lymphoma,blood cancer
NCT03494725,"Healthy, Stress, Psychological",others
NCT04977193,Advanced Gastric Adenocarcinoma,solid tumor
NCT05783570,Advanced Hepatocellular Carcinoma,solid tumor
NCT06718270,"Relapsed/Refractory Multiple Myeloma, Relapsed/Refractory Plasma Cell Leukemia",blood cancer
NCT04416984,"Relapsed or Refractory Large B Cell Lymphoma, Relapsed or Refractory Chronic Lymphocytic Leukemia, Relapsed or Refractory Small Lymphocytic Lymphoma",blood cancer
NCT06765876,"Leukemia, Myeloid, Acute(AML), Precursor Cell Lymphoblastic Leukemia-Lymphoma, Myelodysplastic Syndromes (MDS), Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)",blood cancer
NCT06727383,"Healthy Donors, Myeloproliferative Diseases, Lymphoproliferative Disorders",others
NCT04815356,"Hairy Cell Leukemia, Hairy Cell Leukemia Variant",blood cancer
NCT05561868,"Cystic Fibrosis, COVID-19",others
NCT05256641,"Diffuse Large B-Cell Lymphoma, High-grade B-cell Lymphoma, Transformed Lymphoma, Secondary Central Nervous System Lymphoma",blood cancer
NCT05190185,"Malignant Melanoma, Lung Cancer, or Colorectal Cancer",solid tumor
NCT06822881,"Systemic Lupus Erythematosus (SLE), Systemic Sclerosis (SSc)",others
NCT05765006,Systemic Lupus Erythematosus,others
NCT05945849,"Leukemia, Myeloid, Acute",blood cancer
NCT06539338,"Lymphomas Non-Hodgkin's B-Cell, Precursor Cell Lymphoblastic Leukemia-Lymphoma",blood cancer
NCT04553393,Refractory or Relapsed Aggressive r/r B-NHL With Huge Tumor Burden,solid tumor
NCT03105336,"Follicular Lymphoma, Marginal Zone Lymphoma, Indolent Non-Hodgkin Lymphoma",blood cancer
NCT02799134,Healthy,others
NCT06827886,Alveolar Soft Part Sarcoma,solid tumor
NCT06413498,Multiple Myeloma,blood cancer
NCT04720313,Dose Escalation and Safety,others
NCT06500273,Large B-cell Lymphoma,blood cancer
NCT04822974,Hematologic Cancer,blood cancer
NCT05170568,CD7-positive Relapsed/Refractory Lymphoid Hematologic Malignancies,blood cancer
NCT04171843,Relapsed/Refractory Multiple Myeloma,blood cancer
NCT04067414,"Diffuse Large B Cell Lymphoma, High-grade B-cell Lymphoma, Transformed Lymphoma, Primary Mediastinal Large B Cell Lymphoma",blood cancer
NCT04726787,Diffuse Large B Cell Lymphoma,blood cancer
NCT03154775,Refractory or Relapsed Non-Hodgkin Lymphoma,blood cancer
NCT06714071,AML,others
NCT03870945,B-cell Non Hodgkin Lymphoma,blood cancer
NCT04692948,"CAR, Acute Myeloid Leukemia",blood cancer
NCT05017883,"CAR, Acute Myeloid Leukemia",blood cancer
NCT05432401,FLT3-positive Relapsed/Refractory Acute Myeloid Leukemia,blood cancer
NCT05991388,B-cell Non Hodgkin Lymphoma,blood cancer
NCT02277522,Hodgkin Lymphoma With no Available Curative Treatment Options Who Have a Limited Prognosis,blood cancer
NCT06553872,Mantle Cell Lymphoma,blood cancer
NCT03599375,"Leukemia, B-Cell",blood cancer
NCT05680922,"Small Cell Lung Cancer Extensive Stage, Large Cell Neuroendocrine Carcinoma of the Lung",solid tumor
NCT06789081,Alveolar Soft Part Sarcoma,solid tumor
NCT06878248,"Breast Cancer Metastatic, Locally Advanced Breast Cancer (LABC), Malignant Neoplasm of Breast, Triple Negative Breast Cancer (TNBC), Hormone Receptor-Positive Breast Cancer, HER2 + Breast Cancer",solid tumor
NCT06709469,Precursor Cell Lymphoblastic Leukemia-Lymphoma,blood cancer
NCT04617704,Multiple Myeloma,blood cancer
NCT03299738,Refractory or Relapsed B-cell Non-Hodgkin Lymphoma,blood cancer
NCT03635632,"Relapsed Neuroblastoma, Refractory Neuroblastoma, Relapsed Osteosarcoma, Relapsed Ewing Sarcoma, Relapsed Rhabdomyosarcoma, Uveal Melanoma, Phyllodes Breast Tumor",solid tumor
NCT04295096,Healthy Subject,others
NCT05982275,"Multiple Myeloma, Allogeneic Stem Cell Transplantation",blood cancer
NCT05141253,Cancer,solid tumor
NCT04992234,"Cystic Fibrosis, Covid19",others
NCT04724642,"Allogenic Hematopoietic Cell Transplant, CAR-T Therapy, Primary Immunodeficiency",others
NCT05762094,Bacterial Infections,others
NCT06796517,"Relapsed/refractory High Grade B Cell Lymphoma, High Grade B-cell Lymphoma, Diffuse Large B Cell Lymphoma Relapsed, Primary Mediastinal Large B-Cell Lymphoma, Burkitt Lymphoma",blood cancer
NCT05310591,"B Acute Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia, in Relapse",blood cancer
NCT06681285,Esophageal Carcinoma,solid tumor
NCT03019055,"Lymphoma, Non-Hodgkin, Lymphoma, B-Cell, Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma",blood cancer
NCT01837602,"Metastatic Breast Cancer, Triple Negative Breast Cancer",solid tumor
NCT03853616,"Acute Lymphoblastic Leukemia Recurrent, B-cell Lymphoma Recurrent, B-cell Lymphoma Refractory, Chronic Lymphocytic Leukemia Recurrent, Chronic Lymphocytic Leukemia Refractory",blood cancer
NCT06894693,"B-cell Non-Hodgkin's Lymphoma, Acute Lymphoblastic Leukemia",blood cancer
NCT02478632,HIV Infections,others
NCT06285825,Cytopenia,others
NCT02926833,Refractory Diffuse Large B Cell Lymphoma,blood cancer
NCT04384393,B Cell Malignancy,others
NCT05784415,"Leukemia, Leukemia, Lymphoblastic, Lymphoma, Large B-Cell, Diffuse, Follicular Lymphoma, Lymphoma, B-Cell, Lymphoma, Follicular, Lymphoma, Non-Hodgkin, HIV Infections, HIV Associated Lymphoma, HIV Disease; Lymphoma",blood cancer
NCT03323944,"Pancreatic Cancer, Cancer of the Pancreas",solid tumor
NCT06364852,B-NHL,others
NCT06279611,B-NHL,others
NCT03155100,Multiple Myeloma in Relapse,blood cancer
NCT03601078,Multiple Myeloma,blood cancer
NCT06048250,Multiple Myeloma,blood cancer
NCT06142175,Large B-cell Lymphoma,blood cancer
NCT05800977,Relapsed/Refractory Large B-Cell Lymphoma,blood cancer
NCT05336383,"Multiple Myeloma, Plasma Cell Neoplasm, Malignant Plasma Cell Neoplasm",blood cancer
NCT02706782,Pancreatic Cancer,solid tumor
NCT02203825,"Acute Myeloid Leukemia, Myelodysplastic Syndrome, Multiple Myeloma",blood cancer
NCT06305299,"Ovary Neoplasm, Ovarian Cancer, Epithelial Ovarian Cancer, Recurrent",solid tumor
NCT05562024,B7-H3-positive Relapsed/ Refractory Neuroblastoma,others
NCT03185468,"Bladder Cancer, Urothelial Carcinoma Bladder",solid tumor
NCT05319314,Colorectal Cancer,solid tumor
NCT05539430,"Gastric Cancer, Gastroesophageal-junction Cancer, Esophageal Cancer, Pancreatic Cancer",solid tumor
NCT06142188,"Lymphoma, B-Cell, Large B-cell Lymphoma, Follicular Lymphoma",blood cancer
NCT06307600,B Lymphoblastic Leukemia/Lymphoma,blood cancer
NCT03594162,"Acute Lymphoblastic Leukemia, Immune System Diseases, Immunoproliferative Disorders",blood cancer
NCT06879340,"B-Cell Non-Hodgkin Lymphoma, B-cell Acute Lymphoblastic Leukemia",blood cancer
NCT02694952,Snake Bites,others
NCT03430011,Multiple Myeloma,blood cancer
NCT06888752,Relapsed/Refractory Multiple Myeloma,blood cancer
NCT03499197,"Heart Transplant Failure and Rejection, Magnetic Resonance Imaging",others
NCT05666700,Extramedullary Myeloma,blood cancer
NCT02624258,Hodgkin Lymphoma,blood cancer
NCT03336567,Neoplasms,others
NCT04163302,"Lymphoma, B-Cell",blood cancer
NCT06285279,"Lupus Nephritis, ANCA-associated Vasculitis, Membranous Nephropathy - PLA2R Induced, IgG4-Related Diseases",others
NCT06395870,"B-Cell Non-Hodgkin Lymphoma-Recurrent, B-Cell Non-Hodgkin Lymphoma-Refractory",blood cancer
NCT05371145,Peripheral Arterial Disease,others
NCT06295549,Relapsed and Refractory B-cell Non-Hodgkin Lymphoma,blood cancer
NCT03496194,"Pain, Postoperative, Anesthesia, Epidural Analgesia, Acute Pain",others
NCT06472479,Relapsed/Refractory Multiple Myeloma,blood cancer
NCT06290622,"Diffuse Large B Cell Lymphoma, Lymphoma, B-Cell, Lymphoma, Follicular",blood cancer
NCT05190653,"Leukemia, Lymphoma, Multiple Myeloma, Blood Cancer, Stem Cell Transplant Complications, Chimeric Antigen Receptor T-cell Therapy",blood cancer
NCT05318963,"B-cell Lymphoma Recurrent, B-cell Lymphoma Refractory",blood cancer
NCT03876769,B-Cell Acute Lymphoblastic Leukemia,blood cancer
NCT06904131,Gynecological Solid Tumors,solid tumor
NCT04877613,"Metastatic Medullary Thyroid Cancer, Recurrent Thyroid Gland Medullary Carcinoma",solid tumor
NCT05865301,Lymphoid Leukemia,blood cancer
NCT05040230,"Immune Effector Cell Encephalopathy, Neurotoxicity",others
NCT04162119,Multiple Myeloma,blood cancer
NCT02601313,Relapsed/Refractory Mantle Cell Lymphoma,blood cancer
NCT05952375,Gastric Cancer,solid tumor
NCT06801119,Systemic Lupus Erythematosus,others
NCT04468412,"COVID, Vascular; Damage",others
NCT06503211,Recurrent or Refractory B-cell Non Hodgkin's Lymphoma,blood cancer
NCT06532812,"Breast Cancer, Breast Carcinoma, Breast Cancer Metastatic, Breast Cancer Triple Negative",solid tumor
NCT04129593,Cortisol Awakening Response,others
NCT05681650,HER2 Positive Advanced Solid Tumors,solid tumor
NCT06806371,Obesity and Obesity-related Medical Conditions,others
NCT06891742,HCC,others
NCT06404723,Systemic Lupus Erythematosus,others
NCT06464991,Multiple Myeloma,blood cancer
NCT02792114,"Breast Cancer, Metastatic HER2-negative Breast",solid tumor
NCT03911609,"Fibromyalgia, Exercise, Pain, Autonomic Dysfunction, Physical Activity",others
NCT05286164,"CART Treatment, B Cell Lymphoma",blood cancer
NCT05798117,"Systemic Lupus Erythematosus, Lupus Nephritis",others
NCT06494371,"Hodgkin's Lymphoma, Anaplastic Large Cell Lymphoma",blood cancer
NCT06248086,B-cell Lymphoma,blood cancer
NCT06759948,Generalized Myasthenia Gravis (gMG),others
NCT04443829,Primary CNS Lymphoma,blood cancer
NCT04531046,"B-Cell Lymphoma Refractory, B-cell Lymphoma Recurrent",blood cancer
NCT03932539,"Rejection Heart Transplant, Immunosuppression",others
NCT06876688,CNS Lymphoma,blood cancer
NCT05396885,Multiple Myeloma,blood cancer
